Reward,Won Hand,Trials
-4930,1,1415
-4940,-1,1415
-4950,-1,1416
-4940,1,1418
-4950,-1,1419
-4940,1,1420
-4950,-1,1420
-4940,1,1422
-4930,1,1423
-4920,1,1424
-4930,-1,1424
-4930,0,1426
-4940,-1,1426
-4930,1,1428
-4920,1,1429
-4910,1,1430
-4900,1,1431
-4910,-1,1431
-4920,-1,1432
-4930,-1,1434
-4920,1,1435
-4920,0,1436
-4930,-1,1437
-4920,1,1438
-4930,-1,1439
-4920,1,1440
-4930,-1,1441
-4940,-1,1442
-4930,1,1443
-4940,-1,1443
-4950,-1,1445
-4960,-1,1445
-4950,1,1447
-4960,-1,1447
-4970,-1,1449
-4960,1,1450
-4970,-1,1451
-4980,-1,1452
-4990,-1,1452
-5000,-1,1454
-5000,0,1455
-4990,1,1456
-4990,0,1457
-4980,1,1458
-4990,-1,1459
-4980,1,1460
-4990,-1,1461
-4980,1,1462
-4990,-1,1462
-4980,1,1464
-4970,1,1465
-4980,-1,1465
-4990,-1,1466
-4980,1,1468
-4990,-1,1469
-5000,-1,1469
-4990,1,1471
-5000,-1,1471
-5010,-1,1472
-5000,1,1474
-5010,-1,1474
-5000,1,1476
-5010,-1,1477
-5010,0,1478
-5000,1,1479
-4990,1,1480
-5000,-1,1480
-5010,-1,1482
-5000,1,1483
-5010,-1,1484
-5000,1,1485
-4990,1,1486
-5000,-1,1487
-5010,-1,1487
-5020,-1,1489
-5030,-1,1489
-5020,1,1491
-5030,-1,1491
-5020,1,1493
-5010,1,1494
-5000,1,1495
-5010,-1,1496
-5020,-1,1496
-5020,0,1498
-5010,1,1499
-5020,-1,1499
-5010,1,1501
-5000,1,1502
-5010,-1,1502
-5020,-1,1503
-5030,-1,1505
-5040,-1,1506
-5030,1,1507
-5020,1,1508
-5010,1,1509
-5000,1,1510
-5010,-1,1510
-5020,-1,1511
-5030,-1,1512
-5040,-1,1513
-5030,1,1515
-5020,1,1516
-5030,-1,1516
-5030,0,1518
-5020,1,1519
-5030,-1,1519
-5040,-1,1520
-5030,1,1522
-5040,-1,1523
-5050,-1,1524
-5060,-1,1524
-5070,-1,1526
-5060,1,1527
-5050,1,1528
-5060,-1,1528
-5070,-1,1529
-5080,-1,1530
-5090,-1,1531
-5080,1,1533
-5070,1,1534
-5060,1,1535
-5070,-1,1535
-5060,1,1537
-5050,1,1538
-5040,1,1539
-5050,-1,1540
-5060,-1,1541
-5070,-1,1541
-5060,1,1543
-5070,-1,1543
-5080,-1,1544
-5090,-1,1546
-5100,-1,1546
-5110,-1,1548
-5120,-1,1549
-5130,-1,1550
-5120,1,1551
-5130,-1,1551
-5140,-1,1552
-5150,-1,1553
-5160,-1,1555
-5170,-1,1556
-5180,-1,1557
-5170,1,1558
-5180,-1,1558
-5190,-1,1559
-5180,1,1561
-5190,-1,1561
-5200,-1,1562
-5190,1,1564
-5200,-1,1564
-5190,1,1566
-5200,-1,1566
-5190,1,1568
-5200,-1,1568
-5210,-1,1569
-5200,1,1571
-5210,-1,1571
